sep=,
"publisher_email","page_url","page_version","publisher_type","publisher_team","cta_url_domain","pbase_line","pbase_code","version_note","page_note","stats_access","stats_view","stats_addtocart","stats_initcheckout","stats_checkout","stats_purchase","stats_access_error","stats_initcheckout_error","stats_checkout_error","stats_revenue","stats_purchase_abandon","stats_revenue_abandon","stats_taken_amount","stats_cost_total","stats_tax_amount"
iho@crossian.us,https://bragoddess.com/bustella_old17oct25?--content-version=3t6h30lbyd5hs8pnqomsnyure_2,C,RMKT,,bragoddess.com,Bra,Bustella,Version note 3,v1.3 - enhance visual bra,3,3,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/camilace?--content-version=4bvyfqembswvyuuyxk755sy9d_0,A,RMKT,,bragoddess.com,Bra,CamiLace,Version note 1,v2.3 - Graphic optimization (new model) (Quantity),3,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/cozilady?--content-version=1371ob3ng1xgu9sy3bn61f105_0,A,RMKT,,bragoddess.com,Bra,CoziLady,Version note 1,"v1.1 - new USP, bảng size sau nghiệm thu",2,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/cupidpads?--content-version=4ttwygy66f84k2iu8qthymyol_0,A,RMKT,,bragoddess.com,Bra,CupidPads2,Version note 1,Q6.2 - New sizing button (Quantity),2,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/cupipads?--content-version=52udxq9engaf2zggayinm50pe_0,A,RMKT,,bragoddess.com,Bra,CupiPads,Version note 1,Q6.4 - New variant images,81,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/cushycurves?--content-version=7in5n5my0t56sfs214umx7t5n_0,A,RMKT,,bragoddess.com,Bra,CushyCurves,Version note 1,V2.0 - New USP Graphics,132,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/daintybra?--content-version=6f5rp6r6nh57hfx0s2k05nvb3_0,A,RMKT,,bragoddess.com,Bra,DaintyBra3,Version note 1,v3 - 3.1: Optimise USP image from v3.0,5,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/daisybra?--content-version=1an7lbxk5t7eebkhhdiuub21k_0,A,RMKT,,bragoddess.com,Bra,Daisy Bra 3,Version note 1,"v3-2.1. No DMCA (Enhance models, variants)",3150,2445,654,512,412,347,15,,,11754,45,1087,5592,4036,669
iho@crossian.us,https://bragoddess.com/daisybra?--content-version=4eyyeiz0zq7r52dfsp4kfr5o8_0,A,RMKT,,bragoddess.com,Bra,Daisy Bra 3,Version note 1,"v3-2.1. No DMCA (Enhance models, variants)",6974,5082,1348,1019,782,627,26,,,21427,98,2430,10384,7184,1232
iho@crossian.us,https://bragoddess.com/daisybra?--content-version=4eyyeiz0zq7r52dfsp4kfr5o8_2,C,RMKT,,bragoddess.com,Bra,Daisy Bra 3,Version note 3,v3-3. New Concept,458,1221,257,186,138,116,,,,3670,11,350,1767,1239,207
iho@crossian.us,https://bragoddess.com/daisybra_old21nov25?--content-version=4eyyeiz0zq7r52dfsp4kfr5o8_0,A,RMKT,,bragoddess.com,Bra,Daisy Bra 3,Version note 1,"v3-2.1. No DMCA (Enhance models, variants)",37,45,,,1,0,,,,0,1,25.9,0,0,0
iho@crossian.us,https://bragoddess.com/daisybra_old21nov25?--content-version=4eyyeiz0zq7r52dfsp4kfr5o8_2,C,RMKT,,bragoddess.com,Bra,Daisy Bra 3,Version note 3,v3-3. New Concept,2,5,1,1,3,1,,,,47.5,2,52.1,23.9,14.6,3.52
iho@crossian.us,https://bragoddess.com/daisybreezy?--content-version=1mph81uyjsfneh3gzp58aw177_0,A,RMKT,,bragoddess.com,Bra,DaisyBreezy3,Version note 1,v1.0 - For RMKT,12,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/doveloom?--content-version=cl4x8oppp6mz2mc99ww0gse9_0,A,RMKT,,bragoddess.com,Panties,DoveLoom,Version note 1,v1.0 - NFT,536,1,,,,,1,,,,,,,,
iho@crossian.us,https://bragoddess.com/doveloom?--content-version=cl4x8oppp6mz2mc99ww0gse9_1,B,RMKT,,bragoddess.com,Panties,DoveLoom,Version note 2,v2.0 - USP Optimised,310,644,93,62,47,38,,,,1578,3,74.5,897,411,93.8
iho@crossian.us,https://bragoddess.com/easeblooming?--content-version=39wedemr3ccaxjhbkmpgf5286_0,A,RMKT,,bragoddess.com,Bra,EaseBlooming1,Version note 1,v2.1 - New bra look,1817,1439,304,237,182,151,4,,,5110,18,481,2349,1856,284
iho@crossian.us,https://bragoddess.com/elashape?--content-version=6vinaxfacshrc3y00kegv3p61_0,A,RMKT,,bragoddess.com,Shapewear,ElaShape,Version note 1,v6.0 -Revive 29/11/2023,48,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/ellebloom?--content-version=7kd87fb0wuk8tf3yiwsl1xmgp_0,A,RMKT,,bragoddess.com,Bra,ElleBloom,Version note 1,"v6.1 (size 7, 8XL added) + sale message",2944,2221,417,283,230,180,9,,,7435,29,716,3712,2469,415
iho@crossian.us,https://bragoddess.com/ellielift?--content-version=3j5m0ucwhu0o3gabugtxxgp7q_0,A,RMKT,,bragoddess.com,Bra,EllieLift 2,Version note 1,v2 - v3.2 (real contract - Pin),3,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/embraced?--content-version=7dwhmqeyqxuxvc92qcqw2dj16_0,A,RMKT,,bragoddess.com,Bra,Embraced4,Version note 1,v4 - 1.2.1 - copy Embraced2,17,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/emmabra?--content-version=79sahtx7bto2sukm640a10rlc_0,A,RMKT,,bragoddess.com,Bra,EmmaBra 3.1,Version note 1,"v1.2 Emma3.1 - 30-58, A-G",222,120,29,32,27,25,,,,1074,2,78.3,532,359,57.4
iho@crossian.us,https://bragoddess.com/emmabra?--content-version=79sahtx7bto2sukm640a10rlc_2,C,RMKT,,bragoddess.com,Bra,EmmaBra 3.1,Version note 3,v3.0 EmmaBra3.1 - Enhance content flow & visual (10+10),3,7,1,1,1,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/emmabra_old20oct25?--content-version=4gugq39apjtzfuqsohbp2e4s0_1,B,RMKT,,bragoddess.com,Bra,EmmaBra3,Version note 2,"v1.2 - 30-58, A-G",26,26,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/exsecret?--content-version=2x1u93qd42v657e0zlka392j0_0,A,RMKT,,bragoddess.com,Bra,ExSecret 4,Version note 1,v4 - 3.0. 45+ models - old version,23,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/faithbra?--content-version=66jhr394xxrspmngpn71klvyy_0,A,RMKT,,bragoddess.com,Bra,Faith Bra,Version note 1,v2.0. Bảng size nghiệm thu July 7,1,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/femilace?--content-version=1fzk1veib07lnbfwl4svj1g1c_0,A,RMKT,,bragoddess.com,Bra,FemiLace6,Version note 1,v2.1 - enhacne from v2.0,2,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/fleececozy?--content-version=284a12kvt7za8efukswm4xcmb_0,A,RMKT,,bragoddess.com,Accessories,FleeceCozy,Version note 1,v1.2 - tránh bias sold data của page v1.1 sau khi đặt MOQ,22,1,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/fleececozy?--content-version=284a12kvt7za8efukswm4xcmb_1,B,RMKT,,bragoddess.com,Accessories,FleeceCozy,Version note 2,"v2.0 - sửa USP sang hướng comfort, blood circulation",400,574,69,37,33,18,,,,622,5,130,362,157,34.9
iho@crossian.us,https://bragoddess.com/fleecesox?--content-version=2sm1r8ja69mmk1dkutbk4fz6j_0,A,RMKT,,bragoddess.com,Accessories,FleeceSox,Version note 1,v3.0: Revive2024,2,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/glammere?--content-version=76touyb2422t9r3t2xl0colc2_0,A,RMKT,,bragoddess.com,Accessories,Glammere 2,Version note 1,v8.0 (no DMCA),1,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/glamorette?--content-version=1fstliqtjkuqshehpjp316grt_0,A,RMKT,,bragoddess.com,Bra,Glamorette 3,Version note 1,v3 - C1.0. New Band-Cup Size chart,204,156,35,26,13,13,1,,,355,0,0,159,130,19.8
iho@crossian.us,https://bragoddess.com/ivylift?--content-version=1ftevo793sneodr2s7zl98mf4_0,A,RMKT,,bragoddess.com,Bra,IvyLift,Version note 1,v2.3 - New extended size chart,959,527,174,120,93,83,9,,,2937,7,149,1355,1049,172
iho@crossian.us,https://bragoddess.com/ivylift?--content-version=1ftevo793sneodr2s7zl98mf4_1,B,RMKT,,bragoddess.com,Bra,IvyLift,Version note 2,v3.1 - Concept 3.0 & add new sizes 09/2025,64,138,42,31,27,18,,,,540,9,242,235,206,30.5
iho@crossian.us,https://bragoddess.com/ivylift?--content-version=1ftevo793sneodr2s7zl98mf4_2,C,RMKT,,bragoddess.com,Bra,IvyLift,Version note 3,V3.0 - New Concept Neutrel Color,151,335,74,53,38,25,,,,827,8,179,382,288,54.0
iho@crossian.us,https://bragoddess.com/ivylift_old18aug25?--content-version=51ids91z16udzquw5b2m4ihmw_1,B,RMKT,,bragoddess.com,Bra,IvyLift,Version note 2,v2.3 - New extended size chart,2,2,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/ivylift_old18aug25?--content-version=51ids91z16udzquw5b2m4ihmw_2,C,RMKT,,bragoddess.com,Bra,IvyLift,Version note 3,V3.0 - New Concept Neutrel Color,8,8,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/jennbra?--content-version=6fasleng2ktdtp3a4movov2ru_0,A,RMKT,,bragoddess.com,Bra,JENN BRA2,Version note 1,V1.0 quantity (dup v1.0.3 variant),8,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/jessiebra?--content-version=3hcsfdu15mq2qb9bw4xt1veue_0,A,RMKT,,bragoddess.com,Bra,Jessie Bra2,Version note 1,[Quantity] v2.0 - Dup v3.0,67,,,,,,1,,,,,,,,
iho@crossian.us,https://bragoddess.com/jumpchic?--content-version=r1mysgb26mqzw6pkbj99imbm_0,A,RMKT,,bragoddess.com,Loungewear,JumpChic,Version note 1,V1.1 - Sizing & Graphics Update,1,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/lacyfit?--content-version=4i2deapuhviw4782l28s97iw1_0,A,RMKT,,bragoddess.com,Panties,LacyFit,Version note 1,v1.0 - NFT,2,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/ladicurve?--content-version=4paf4t37td6ptj5qytqoh844i_0,A,RMKT,,bragoddess.com,Bra,LadiCurve,Version note 1,v1.1 (Graphic + Bundles),1,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/lamusebra?--content-version=4435f5g4d267vnjvutgn359eb_0,A,RMKT,,bragoddess.com,Bra,LaMuse Bra2,Free shipping when buy 2+,v10.0. New USP images,65,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/liftcharm?--content-version=3frfsjswvftwfuzjqsxb2agqx_0,A,RMKT,,bragoddess.com,Bra,LiftCharm,Version note 1,"v2.2- Flow comfort, enhance visual (mẫu già, đổi ảnh ở description, bổ sung VAP))",397,528,117,78,56,46,1,,,2400,7,265,1315,677,137
iho@crossian.us,https://bragoddess.com/liftcharm?--content-version=3frfsjswvftwfuzjqsxb2agqx_1,B,RMKT,,bragoddess.com,Bra,LiftCharm,Version note 2,"v2.3 - v2.2, mẫu già 55 tuổi",4,6,1,1,1,1,,,,83.3,0,0,44.6,23.9,5.81
iho@crossian.us,https://bragoddess.com/lucilift?--content-version=1rh8ss41wx5pf4zgoginn541j_0,A,RMKT,,bragoddess.com,Bra,LuciLift3,Version note 1,v1.2 - New size chart,1,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/lunahug?--content-version=59hozgq6bd1egnwqi7owpoz0j_0,A,RMKT,,bragoddess.com,Bra,LunaHug,Version note 1,v2.1 LunaHug Lifting & Shaping Enhance Size,505,2,,,,,2,,,,,,,,
iho@crossian.us,https://bragoddess.com/lunahug?--content-version=59hozgq6bd1egnwqi7owpoz0j_1,B,RMKT,,bragoddess.com,Bra,LunaHug,Version note 2,"v2.2 LunaHug mở size H,I",306,916,254,195,144,119,,,,4470,9,222,1844,1785,286
iho@crossian.us,https://bragoddess.com/lushfitting?--content-version=4im3iklombh2n4dn1r1xfu7kj_0,A,RMKT,,bragoddess.com,Bra,LushFitting3,Version note 1,v9.2 - no DMCA + đổi màu Pure Beige,3985,2478,573,424,325,277,10,,,11779,41,1149,6214,3477,721
iho@crossian.us,https://bragoddess.com/lushfitting?--content-version=4im3iklombh2n4dn1r1xfu7kj_1,B,RMKT,,bragoddess.com,Bra,LushFitting3,Version note 2,v11.1 - mẫu big size + OFF TC size mới,315,670,134,99,83,68,,,,2627,8,243,1304,852,156
iho@crossian.us,https://bragoddess.com/lushybum?--content-version=8enug8lpwudb104xzj98cne0_0,A,RMKT,,bragoddess.com,Panties,LushyBum,Version note 1,v3.0 - Winter theme (dup 2.1) - current running,329,346,61,41,25,22,1,,,1036,2,127,536,320,66.4
iho@crossian.us,https://bragoddess.com/moonabra?--content-version=6ucngmn1nau0ukn041464bk5j_0,A,RMKT,,bragoddess.com,Bra,Moona Bra 2,Version note 1,v2-8.0. No DMCA (Fix v2-4.1. No DMCA cũ),3566,2915,777,619,498,408,7,,,13052,53,1141,6204,4465,777
iho@crossian.us,https://bragoddess.com/moonabra?--content-version=6ucngmn1nau0ukn041464bk5j_1,B,RMKT,,bragoddess.com,Bra,Moona Bra 2,Version note 2,v3.0 - New concept,80,226,41,36,28,26,,,,810,1,26.2,387,273,49.7
iho@crossian.us,https://bragoddess.com/nakedge?--content-version=uki0w0el4mkhol4u70jrg6f9_0,A,RMKT,,bragoddess.com,Bra,Nakedge,Version note 1,Q2.1 - New bundles (Quantity),51,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/posybra?--content-version=48ozz8ss540a12ymtwi8peu83_0,A,RMKT,,bragoddess.com,Bra,Posy Bra,Version note 1,"V3.1 - Enhance variants, change model visual",524,601,200,147,122,110,2,,,3914,11,302,1877,1331,228
iho@crossian.us,https://bragoddess.com/posybra?--content-version=48ozz8ss540a12ymtwi8peu83_1,B,RMKT,,bragoddess.com,Bra,Posy Bra,Version note 2,V4.0 - 3D BEVA Variants,1,1,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/queenebra?--content-version=em4y7bqy2mmkoyt2tdcejjqn_0,A,RMKT,,bragoddess.com,Bra,QueeneBra,Version note 1,v7.1 - updated gif to vid,1,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/senobra?--content-version=1h9oc2pyrap14nyvsa7d7jo3a_0,A,RMKT,,bragoddess.com,Bra,Senobra,Version note 1,v5.1 (new sizing - old background),743,573,134,95,81,67,4,,,2676,6,206,1368,834,162
iho@crossian.us,https://bragoddess.com/senobra_old14jul25?--content-version=2hz2enfhbxocyzafjzpi328px_1,B,RMKT,,bragoddess.com,Bra,Senobra,Version note 2,v2.0 (summer sale concept),1,1,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/senobra_old20oct25?--content-version=6fvlrzctcocovkr5v57fs8j6y_0,A,RMKT,,bragoddess.com,Bra,Senobra,Version note 1,v5.1 (new sizing - old background),4,4,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/senobra_old20oct25?--content-version=6fvlrzctcocovkr5v57fs8j6y_2,C,RMKT,,bragoddess.com,Bra,Senobra,Version note 3,v6.2 (bundles & enhanced variant images),4,4,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/sleekhip?--content-version=3oju4eg82dhak2sxjeangfyk0_0,A,RMKT,,bragoddess.com,Panties,SleekHip,Version note 1,v3.1 - Combine page 1.1 & 3.0 (sz chart 1.1 + image 3.0),19,3,1,1,,,1,,,,,,,,
iho@crossian.us,https://bragoddess.com/smoothchicbra?--content-version=47ozq53xwgpk02oxscad3nvyv_0,A,RMKT,,bragoddess.com,Bra,SmoothChic Bra,Version note 1,v2.0 - graphic optimization (Quantity),2,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/uplacy?--content-version=65aoi0wevb6jph9fk8z3syefp_0,A,RMKT,,bragoddess.com,Bra,UpLacy 1.0,Version note 1,v3.2 - mở rộng bảng size,1176,875,156,99,73,57,5,,,2383,9,257,1223,752,131
iho@crossian.us,https://bragoddess.com/uplacy_old19jun25?--content-version=c21advbn0h5n7ccnuonv7ub5_0,A,RMKT,,bragoddess.com,Bra,UpLacy 1.0,Version note 1,UpLacy 1.0 - v1.1 (Black Friday content removed),21,1,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/uplacy_old20oct25?--content-version=5n5qwkd9500f3lsf7h8ut00yz_0,A,RMKT,,bragoddess.com,Bra,UpLacy 1.0,Version note 1,v3.2 - mở rộng bảng size,4,4,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/windybra?--content-version=46n616ohz2satov74mum3fh3l_0,A,RMKT,,bragoddess.com,Bra,WindyBra3,Version note 1,v3 - v1.0 - Revive,6,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/zenalift?--content-version=2l3mj579nlq3d7bkvie992pc9_0,A,RMKT,,bragoddess.com,Bra,ZenaLift,Version note 1,v3.0 - New persona & visual,820,727,191,129,89,76,1,,,2828,6,123,1343,975,167
iho@crossian.us,https://bragoddess.com/zenalift?--content-version=2l3mj579nlq3d7bkvie992pc9_1,B,RMKT,,bragoddess.com,Bra,ZenaLift,Version note 2,v3.2 - No Clay Rose,4,9,1,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/zenalift?--content-version=4hnj23tka9gpsq1obalfajwf_0,A,RMKT,,bragoddess.com,Bra,ZenaLift,Version note 1,v3.1 - Black Friday banner & Sale Title added,478,438,159,130,98,84,,,,2791,9,165,1170,1111,154
iho@crossian.us,https://bragoddess.com/zenalift_old10oct25?--content-version=3oartoubdmkv36yjl5ug4en6y_2,C,RMKT,,bragoddess.com,Bra,ZenaLift,Version note 3,v3.0 - New persona & visual,2,2,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/zenchicbra?--content-version=32drnn2hy40npgexvyu4cu69p_0,A,RMKT,,bragoddess.com,Bra,ZenChic Bra3,Version note 1,v1.3 -điều chỉnh lại bảng size,3991,3299,771,564,452,394,7,,,16867,39,1064,9146,4801,1006
iho@crossian.us,https://bragoddess.com/ziplacy?--content-version=29nwqp1si6enzjkie74x8fnz1_0,A,RMKT,,bragoddess.com,Bra,ZipLacy,Version note 1,v2.1 ZipLacy (enhanced USPs),3207,2699,719,517,422,347,6,,,13532,48,1337,6520,4608,784
iho@crossian.us,https://bragoddess.com/zoeshape?--content-version=58vtgd039w6bbhw06s3ygs86_0,A,RMKT,,bragoddess.com,Bra,ZoeShape,Version note 1,V1.1 - Thêm Sale Banner + Short Description,928,934,138,92,65,54,2,,,2573,3,94.6,1416,711,155
iho@crossian.us,https://gentslux.com/airflexion?--content-version=3edaiqh7cb7s6g1cyaphvl9kx_0,A,RMKT,,gentslux.com,Pant,AirFlexion,Version note 1,V1.2 - Sale size 28 -> 62,727,564,85,69,51,46,4,,,3402,4,195,1684,1146,238
iho@crossian.us,https://gentslux.com/airflexion?--content-version=3edaiqh7cb7s6g1cyaphvl9kx_1,B,RMKT,,gentslux.com,Pant,AirFlexion,Version note 2,V4.0 - Fall/Winter + 70% OFF on image,59,140,12,8,6,5,,,,358,0,0,184,116,23.5
iho@crossian.us,https://gentslux.com/arcticshorts?--content-version=1v8bdh2fvzx08iuajc2dvktlb_0,A,RMKT,,gentslux.com,Pant,Arctic Shorts,Version note 1,v2.0 unisex,25,,,,,,,,,,,,,,
iho@crossian.us,https://gentslux.com/cooliflex?--content-version=5m3g4bm5lj2qkksmqj57bkt1l_0,A,RMKT,,gentslux.com,T-shirt,CooliFlex2,Version note 1,"v3.1- FC White, Light Blue, Brown",1,,,,,,,,,,,,,,
iho@crossian.us,https://gentslux.com/easeflexor?--content-version=3j0evzl6bg96f3f2m448h1g22_0,A,RMKT,,gentslux.com,Pant,EaseFlexor,Version note 1,"v2.3. New size chart - May 29, 2024",885,725,117,86,68,62,,,,3219,4,250,1198,1493,198
iho@crossian.us,https://gentslux.com/easemotions?--content-version=1l5q4dxt4ukvsep9w3g448bgk_0,A,RMKT,,gentslux.com,Pant,EaseMotions,Version note 1,v1.0 NFT,2623,2300,254,184,145,121,,,,7446,18,834,3303,2945,457
iho@crossian.us,https://gentslux.com/easetactic?--content-version=136uu7hupwpt4pp1qjhi3a1q4_0,A,RMKT,,gentslux.com,Pant,EaseTactic,Version note 1,v3.1: merge 1st image của page v3.0 + các ảnh USP page v1.2,1847,1519,173,132,111,95,2,,,6018,9,383,2916,2144,361
iho@crossian.us,https://gentslux.com/fleeceactive?--content-version=3993thwgf344hwa0k50x4nv3c_0,A,RMKT,,gentslux.com,Pant,FleeceActive2,Version note 1,V3.2 Fix Contract,15,,,,,,,,,,,,,,
iho@crossian.us,https://gentslux.com/flexcamo?--content-version=4hmck9jeexnhsik01rqi8q8sw_0,A,RMKT,,gentslux.com,Pant,FlexCamo3,Version note 1,V3.7 - Open 3 waist size & Add 2 colors Beige & Light Gray & Final Material,3840,10,,,,,7,,,,,,,,
iho@crossian.us,https://gentslux.com/flexcamo?--content-version=4hmck9jeexnhsik01rqi8q8sw_1,B,RMKT,,gentslux.com,Pant,FlexCamo3,Version note 2,v3.9.1 - Page v3.9 add 6 small waist to clear stock only,1400,4679,898,660,572,492,,,,30887,53,2651,10500,15441,1816
iho@crossian.us,https://gentslux.com/flexcomfy?--content-version=1p90ikqe86xuyl5hb47q7bhpn_0,A,RMKT,,gentslux.com,Pant,FlexComfy,Version note 1,v3.0 - Younger model,7,,,,,,,,,,,,,,
iho@crossian.us,https://gentslux.com/flexcozy?--content-version=2bv34drdwz53kck5rr5kmovce_0,A,RMKT,,gentslux.com,Pant,FlexCozy,Version note 1,v3.0 (đổi màu Olive Green -> Muted Brown),3,,,,,,,,,,,,,,
iho@crossian.us,https://gentslux.com/flexrover?--content-version=6qews63enfhe0jzgwv9z3jcvy_0,A,RMKT,,gentslux.com,Pant,FlexRover,Version note 1,v1.2: Add odd inseams,275,4,,,,,1,,,,,,,,
iho@crossian.us,https://gentslux.com/flexrover?--content-version=6qews63enfhe0jzgwv9z3jcvy_1,B,RMKT,,gentslux.com,Pant,FlexRover,Version note 2,v4.0: new visual,24,299,6,6,5,5,,,,324,0,0,112,159,20.4
iho@crossian.us,https://gentslux.com/gennelmanpolo?--content-version=6sdqseu9tx8j7b88ycqskk3na_0,A,RMKT,,gentslux.com,T-shirt,Gennelman Polo 2,Version note 1,V5.0 - New Visual,1,,,,,,,,,,,,,,
iho@crossian.us,https://gentslux.com/gentclassic?--content-version=10ozt8m05g5upwe6mg6arxg6y_0,A,RMKT,,gentslux.com,T-shirt,GentClassic2,Version note 1,v2.0 - USPs Enhanced,1,,,,,,,,,,,,,,
iho@crossian.us,https://gentslux.com/gentsflex?--content-version=3pq288jq9fxlxa9zwqgirs9ne_0,A,RMKT,,gentslux.com,Pant,GentsFlex,Version note 1,V1.2: Odd Inseams,656,628,87,64,54,50,,,,2575,4,112,839,1304,159
iho@crossian.us,https://gentslux.com/glideactive?--content-version=3uheedpya8yhg39kfmx9rielq_0,A,RMKT,,gentslux.com,Pant,GlideActive,Version note 1,v1.1 - Add Features,906,698,83,61,44,31,,1,,2018,9,480,909,780,130
iho@crossian.us,https://gentslux.com/glideactive?--content-version=3uheedpya8yhg39kfmx9rielq_2,C,RMKT,,gentslux.com,Pant,GlideActive,Version note 3,"v4.0 - Include models, Enhance USP images",95,290,19,14,12,11,,,,704,1,75.4,337,249,48.8
